name,styleUrl,icon-opacity,icon-color,icon-scale,icon-offset,icon-offset-units,icon,size,lon,lat
Houghton,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,10,-71.0989735,42.3748821
Norfolk,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,3,-71.0954013,42.3744252
Adrian,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,8,-71.0989496,42.3772709
Tremont,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,6,-71.0990935,42.3700246
Inman,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,6,-71.102244,42.3711782
Antrim,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,5,-71.1031154,42.3713681
Maple,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,17,-71.1045209,42.3725843
Ellery,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,13,-71.1092675,42.3732832
Trowbridge,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,10,-71.1100951,42.3750402
Cambridge,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,14,-71.1087845,42.3746868
Summer,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,6,-71.1044921,42.3859144
Spring Hill Terrace,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,15,-71.1070864,42.3891906
Hudson,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,16,-71.1030383,42.3893905
Willoughby,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,21,-71.1013525,42.3895228
Woodbine,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,18,-71.1046104,42.3911899
Ellsworth,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,4,-71.1063975,42.3741219
Norfolk S,#icon-1899-0288D1-nodesc,1,#0288d1,1,"[32,64]","[""pixels"",""insetPixels""]",https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,19,-71.0977377,42.3707873